Author,Reference,Highlight,Publishing date,Year,Cell,Wafer doping,Wafer type,Wafer initial surface,Resitivity,Thickness,Junction location,Rear texture,Front texture,Protection layer,Texturing process,Protection layer removal,Cleaning,Emitter type,Sheet resistance,Emitter process,BSF Sheet resistance,BSF type,BSF process,Annealing temperature ©,Annealing time (min),Passivation front,Passivation front process,interconnection,Inter-layer,Inter-layer thicknes,Inter-layer process,Inter-layer process temperature,Annealing temperature ©,Annealing time (min),Clean before perovskite,Photolithography,Oxidation time,Oxidation temperature,Surface removal,Surface removal process,Rear passivation,Rear local contact,Rear passivation process,Rear metal,Rear electrode,Rear TCO thickness,Rear metal thickness,Rear metal order,Rear metal process,Annealing temperature,Annealing time,Surface removal,Surface removal process,Perovskite polarity,ETL,HTL,Cell isolation,Substrate area,Cell area,Cell active area,Buffer layer,Front electrode,Front metal,Front TCO,Front TCO thickness,Total front TCO thickness,Front TCO process,Front metal thickness [nm],Grid,Finger width [um],Finger spacing [mm],Front metal process,Scan direction,Bandgap,Voc tandem,Jsc tandem,FF tandem,n tandem,Jsc silicon,Jsc perovskite,Certified,Stability conditions,Stability result,Damp heat,Voc silicon,FF silicon,n silicon,Jsc silicon cell,Obs,
Zhang et al.,https://www.sciencedirect.com/science/article/pii/S0925838822040312#fig0025,Varied front IZO thickness,15/01/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,Not clear,,,,,,,,p-i-n,,,,-,-,1.44,SnO2,,,IZO,110,110,,,,,,,Not clear,,,,,18.98,,,No,,,,,,,,,
Heydarian et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202200930,"Front ITO 15 nm low oxygen, 60 nm high oxygen",18/01/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,-,-,0.25,SnO2,,,ITO,15/60,75,,,,,,,Forward,,,,,26.8,,,No,,,,,,,,,
Heydarian et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202200930,"Front ITO 15 nm low oxygen, 60 nm high oxygen",18/01/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,-,-,0.25,SnO2,,,ITO,15/60,75,,,,,,,Reverse,,,,,27,,,No,,,,,,,,,
Heydarian et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202200930,"Front ITO 15 nm low oxygen, 60 nm high oxygen",18/01/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,-,-,0.25,SnO2,,,ITO,15/60,75,,,,,,,Forward,,,,,22.05,,,Yes,,,,,,,,,
Heydarian et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202200930,"Front ITO 15 nm low oxygen, 60 nm high oxygen",18/01/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,-,-,0.25,SnO2,,,ITO,15/60,75,,,,,,,Reverse,,,,,26.84,,,Yes,,,,,,,,,
Heydarian et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/solr.202200930,"Front ITO 15 nm low oxygen, 60 nm high oxygen",18/01/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,-,-,0.25,SnO2,,,ITO,15/60,75,,,,,,,Tracking,,,,,26.8,,,Yes,,,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,DSP,01-May,280,Front,Planar,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,1.7,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,1,1,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Reverse,Not clear,1819,18.1,82.4,27.2,18.11,18.47,No,"Encapsulated deviecs, 1-sun, 25 C, 60% relative humidity",98% initial PCE after 600h,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,DSP,01-May,280,Front,Planar,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,1.7,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,1,1,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Forward,Not clear,1804,18.1,80.6,26.4,18.11,18.47,No,"Encapsulated deviecs, 1-sun, 25 C, 60% relative humidity",98% initial PCE after 600h,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,DSP,01-May,280,Front,Planar,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,1.7,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,1,1,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Tracking,Not clear,,,,27,18.11,18.47,No,"Encapsulated deviecs, 1-sun, 25 C, 60% relative humidity",98% initial PCE after 600h,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,DSP,01-May,280,Front,Planar,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,1.7,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,-,11.8,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Reverse,Not clear,1771,18,76,24.2,18.04,18.6,No,,,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,DSP,01-May,280,Front,Planar,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,1.7,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,-,11.8,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Forward,Not clear,1770,17.9,74.5,23.7,18.04,18.6,No,,,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,DSP,01-May,280,Front,Planar,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,1.7,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,-,11.8,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Tracking,Not clear,,,,23.9,18.04,18.6,No,,,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,FSP,07-Oct,250,Front,Textured,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,1.7,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,-,65.1,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Reverse,Not clear,1777,17.6,67.5,21.1,18.92,18.15,No,,,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,FSP,07-Oct,250,Front,Textured,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,1.7,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,-,65.1,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Forward,Not clear,1772,17.7,62.3,19.5,18.92,18.15,No,,,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,FSP,07-Oct,250,Front,Textured,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,1.7,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,-,65.1,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Tracking,Not clear,,,,20.4,18.92,18.15,No,,,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,FSP,07-Oct,250,Front,Textured,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,5,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,-,0.09,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Not clear,Not clear,1772,17.7,62.3,23.5,18.92,18.15,No,,,,,,,,,
Zheng et al.,https://pubs.rsc.org/en/content/articlehtml/2023/ee/d2ee04007g,Ulta-thin TCOs as interconnection layers,26/01/2023,2023,SHJ,n-type,FZ,FSP,07-Oct,250,Front,Textured,Planar,Not clear,None,None,Ozone + HF dip,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,Not clear,Not clear,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,70,200,Before,evaporation,None,None,Not clear,Not clear,n-i-p,SnO2,Spiro-OMeTAD,Not clear,Not clear,-,0.09,MoOx,ITO/Ag,Ag,ITO,135,135,sputtering,230,Yes,Not clear,Not clear,evaporation,Not clear,Not clear,,,,23,18.92,18.15,No,,,,,,,,,
Walter et al.,https://pubs.rsc.org/en/content/articlelanding/2023/ya/d3ya00048f,Passivating contact cell,26/01/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,Not clear,,,,,,,,p-i-n,,,,-,-,4,SnO2,,,ITO,65,65,,,,,,,Reverse,,,,,28.26,,,No,,,,,,,,,
Walter et al.,https://pubs.rsc.org/en/content/articlelanding/2023/ya/d3ya00048f,Passivating contact cell,26/01/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,Not clear,,,,,,,,p-i-n,,,,-,-,4,SnO2,,,ITO,65,65,,,,,,,Forward,,,,,28.36,,,No,,,,,,,,,
Walter et al.,https://pubs.rsc.org/en/content/articlelanding/2023/ya/d3ya00048f,Passivating contact cell,26/01/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,10,,,,,,,,,,,,,,Ag,ITO/Ag,Not clear,,,,,,,,p-i-n,,,,-,-,4,SnO2,,,ITO,65,65,,,,,,,Tracking,,,,,28.25,,,No,,,,,,,,,
Pyun et al.,https://pubs.acs.org/doi/10.1021/acsaem.2c02649,Top-contact free ,17/02/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,Ag,0,,,,,,,,Back contact,,,,-,-,0.12,None,,,None,0,0,,,,,,,Not clear,,,,,4.23,,,No,,,,,,,,,
Harter et al.,https://onlinelibrary.wiley.com/doi/10.1002/pip.3685,Double side nano-textured heterojunction study,21/02/2023,2023,SHJ,n-type,Cz,As cut,1.2,160,Rear,Textured,Textured,None,KOH,None,Not clear,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,InOx,20,sputtering,Not clear,None,None,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,InOx/Ag,180,400,Before,Sputtering,Not clear,Not clear,,,p-i-n,LiF/C60,Me-4PACz,Not clear,Not clear,1,1,SnO2,IZO,Ag,IZO,100,100,sputtering,Not clear,Not clear,Not clear,Not clear,evaporation,Forward - ARF,1.68,1910,19,78.34,28.4,19,19.8,No,,,,,,,,,
Harter et al.,https://onlinelibrary.wiley.com/doi/10.1002/pip.3685,Double side nano-textured heterojunction study,21/02/2023,2023,SHJ,n-type,Cz,As cut,1.2,160,Rear,Textured,Textured,None,KOH,None,Not clear,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,InOx,20,sputtering,Not clear,None,None,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,InOx/Ag,180,400,Before,Sputtering,Not clear,Not clear,,,p-i-n,LiF/C60,Me-4PACz,Not clear,Not clear,1,1,SnO2,IZO,Ag,IZO,100,100,sputtering,Not clear,Not clear,Not clear,Not clear,evaporation,Reverse - ARF,1.68,1910,19,78.34,28.4,19,19.8,No,,,,,,,,,
Harter et al.,https://onlinelibrary.wiley.com/doi/10.1002/pip.3685,Double side nano-textured heterojunction study,21/02/2023,2023,SHJ,n-type,FZ,DSP,Not clear,260,Rear,Textured,Textured,None,KOH,None,Not clear,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,InOx,20,sputtering,Not clear,None,None,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,InOx/Ag,180,400,Before,Sputtering,Not clear,Not clear,,,p-i-n,LiF/C60,Me-4PACz,Not clear,Not clear,1,1,SnO2,IZO,Ag,IZO,100,100,sputtering,Not clear,Not clear,Not clear,Not clear,evaporation,Forward - ARF,1.68,1890,18.82,76.31,27.11,19.4,19.1,No,,,,,,,,,
Harter et al.,https://onlinelibrary.wiley.com/doi/10.1002/pip.3685,Double side nano-textured heterojunction study,21/02/2023,2023,SHJ,n-type,FZ,DSP,Not clear,260,Rear,Textured,Textured,None,KOH,None,Not clear,a-Si:H(p),Not clear,PECVD,Not clear,nc-SiOx:H(n),PECVD,,,a-Si:H(i),PECVD,recombination,InOx,20,sputtering,Not clear,None,None,Not clear,,,,,,a-Si:H(i),No,PECVD,Ag,InOx/Ag,180,400,Before,Sputtering,Not clear,Not clear,,,p-i-n,LiF/C60,Me-4PACz,Not clear,Not clear,1,1,SnO2,IZO,Ag,IZO,100,100,sputtering,Not clear,Not clear,Not clear,Not clear,evaporation,Forward - ARF,1.68,1890,18.82,76.31,27.11,19.4,19.1,No,,,,,,,,,
Yang et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.3c00123,Recycling and re-fabrication - fresh,01/03/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/SiO2/Ag,20,,,,,,,,p-i-n,,,,-,-,1,SnO2,,,ITO,60,60,,,,,,,Not clear,,,,,26.3,,,No,,,,,,,,,
Yang et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.3c00123,Recycling and re-fabrication - recycled silicon,01/03/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/SiO2/Ag,20,,,,,,,,p-i-n,,,,-,-,1,SnO2,,,ITO,60,60,,,,,,,Not clear,,,,,25.7,,,No,,,,,,,,,
He et al.,https://pubs.rsc.org/en/content/articlelanding/2023/ra/d2ra05481g,Pvk composition engineering,09/03/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,tunneling,uc-Si:H(p/n),Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,110,,,,,,,,p-i-n,,,,-,-,1.2,SnO2,,,ITO,110,110,,,,,,,Reverse,,,,,23.22,,,No,,,,,,,,,
Sittinger et al.,https://www.sciencedirect.com/science/article/pii/S0257897223000610,"Used 95% In2O3, 5% ZnO IZO:H top contact",25/03/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,-,-,Not clear,SnO2,,,IZO,70,70,,,,,,,Not clear,,,,,24.3,,,No,,,,,,,,,
Singh et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/pip.3693,"Carrier-selective passivating contact cell - SHJ rear, TOPCon-like poly-SiOx front. Single side textured",25/03/2023,2023,CSPC,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,30,,,,,,,,,,,,,,Ag,ITO/Ag,150,,,,,,,,p-i-n,,,,-,-,1,SnO2,,,ITO,180,180,,,,,,,Not clear,,,,,23.18,,,No,,,,,,,,,
Ma et al.,https://www.sciencedirect.com/science/article/pii/S2095495623001869#f0025,In2O3 97% ITO,31/03/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,-,-,1,SnO2,,,IZO,100,100,,,,,,,Reverse,,,,,27.21,,,No,,,,,,,,,
Ma et al.,https://www.sciencedirect.com/science/article/pii/S2095495623001869#f0025,In2O3 97% ITO,31/03/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,-,-,1,SnO2,,,IZO,100,100,,,,,,,Forward,,,,,26.12,,,No,,,,,,,,,
Ma et al.,https://www.sciencedirect.com/science/article/pii/S2095495623001869#f0025,In2O3 97% ITO,31/03/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Ag,ITO/Ag,70,,,,,,,,p-i-n,,,,-,-,1,SnO2,,,IZO,100,100,,,,,,,Tracking,,,,,27.28,,,No,,,,,,,,,
Wang et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202300581,Perovskite surface reconfiguration,13/04/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,20,,,,,,,,,,,,,,Al,ITO/Al,Not clear,,,,,,,,p-i-n,,,,-,-,0.5587,SnO2,,,ITO,80,80,,,,,,,Not clear,,,,,25.31,,,No,,,,,,,,,
Wang et al.,https://www.nature.com/articles/s41467-023-37877-z,Surfactant added to improve perovskite crystallisation,15/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,0.124,BCP:Ag,,,IZO,100,100,,,,,,,Reverse,,,,,27.4,,,No,,,,,,,,,
Wang et al.,https://www.nature.com/articles/s41467-023-37877-z,Surfactant added to improve perovskite crystallisation,15/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,0.124,BCP:Ag,,,IZO,100,100,,,,,,,Forward,,,,,27.3,,,No,,,,,,,,,
Wang et al.,https://www.nature.com/articles/s41467-023-37877-z,Surfactant added to improve perovskite crystallisation,15/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,0.124,BCP:Ag,,,IZO,100,100,,,,,,,Tracking,,,,,27.3,,,No,,,,,,,,,
Wang et al.,https://www.nature.com/articles/s41467-023-37877-z,Surfactant added to improve perovskite crystallisation - control,15/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,0.124,BCP:Ag,,,IZO,100,100,,,,,,,Reverse,,,,,26.1,,,No,,,,,,,,,
Wang et al.,https://www.nature.com/articles/s41467-023-37877-z,Surfactant added to improve perovskite crystallisation - control,15/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,0.124,BCP:Ag,,,IZO,100,100,,,,,,,Forward,,,,,25.4,,,No,,,,,,,,,
Li et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202211962,Surface reconstruction,20/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,1,BCP:Ag,,,IZO,100,100,,,,,,,Forward,,,,,29,,,No,,,,,,,,,
Li et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202211962,Surface reconstruction,20/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,1,BCP:Ag,,,IZO,100,100,,,,,,,Reverse,,,,,29.3,,,No,,,,,,,,,
Li et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202211962,Surface reconstruction,20/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,0.132,BCP:Ag,,,IZO,100,100,,,,,,,Forward,,,,,29.19,,,Yes,,,,,,,,,
Li et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202211962,Surface reconstruction,20/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,0.132,BCP:Ag,,,IZO,100,100,,,,,,,Reverse,,,,,29.29,,,Yes,,,,,,,,,
Li et al.,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202211962,Surface reconstruction,20/04/2023,2023,polo,,,,,,,,,,,,,,,,,,,,,,,recombination,IZO,10,,,,,,,,,,,,,,Cr/Ag,Cr/Ag,0,,,,,,,,p-i-n,,,,-,-,0.132,BCP:Ag,,,IZO,100,100,,,,,,,Tracking,,,,,28.89,,,Yes,,,,,,,,,
Yamamoto et al.,https://iopscience.iop.org/article/10.35848/1347-4065/acc593/meta,"ITO bilayer 97% In2O3 20 nm, then 90% In2O3",27/04/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,Not clear,,,,,,,,p-i-n,,,,-,-,0.15,Not clear,,,ITO,20/30,50,,,,,,,Forward,,,,,29.2,,,No,,,,,,,,,
Yamamoto et al.,https://iopscience.iop.org/article/10.35848/1347-4065/acc593/meta,"ITO bilayer 97% In2O3 20 nm, then 90% In2O3",27/04/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,Not clear,,,,,,,,p-i-n,,,,-,-,0.15,Not clear,,,ITO,20/30,50,,,,,,,Reverse,,,,,29.1,,,No,,,,,,,,,
Yamamoto et al.,https://iopscience.iop.org/article/10.35848/1347-4065/acc593/meta,"ITO bilayer 97% In2O3 20 nm, then 90% In2O3",27/04/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Ag,ITO/Ag,Not clear,,,,,,,,p-i-n,,,,-,-,0.15,Not clear,,,ITO,20/30,50,,,,,,,Tracking,,,,,29.2,,,No,,,,,,,,,
Kabaklı et al.,https://www.sciencedirect.com/science/article/pii/S0927024823000673#fig6,ITO bilayer. Low oxygen ITO then high oxygen ITO,01/05/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,80,,,,,,,,,,,,,,Ag,ITO/Ag,195,,,,,,,,p-i-n,,,,-,-,0.25,SnO2,,,ITO,15/60,75,,,,,,,Not clear,,,,,25.6,,,No,,,,,,,,,
Zhao et al.,https://pubs.acs.org/doi/10.1021/acsaem.3c00136,Optimised a-Si contact,02/05/2023,2023,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,30,,,,,,,,,,,,,,Ag,ITO/Ag,150,,,,,,,,p-i-n,,,,-,-,1,SnO2,,,ITO,180,180,,,,,,,Not clear,,,,,24.6,,,No,,,,,,,,,
