Author,Reference,Highlight,Publishing date,Year,Cell,Wafer doping,Wafer type,Wafer initial surface,Resitivity,Thickness,Junction location,Rear texture,Front texture,Protection layer,Texturing process,Protection layer removal,Cleaning,Emitter type,Sheet resistance,Emitter process,BSF Sheet resistance,BSF type,BSF process,Annealing temperature ©,Annealing time (min),Passivation front,Passivation front process,interconnection,Inter-layer,Inter-layer thicknes,Inter-layer process,Inter-layer process temperature,Annealing temperature ©,Annealing time (min),Clean before perovskite,Photolithography,Oxidation time,Oxidation temperature,Surface removal,Surface removal process,Rear passivation,Rear local contact,Rear passivation process,Rear metal,Rear electrode,Rear TCO thickness,Rear metal thickness,Rear metal order,Rear metal process,Annealing temperature,Annealing time,Surface removal,Surface removal process,Perovskite polarity,ETL,HTL,Cell isolation,Substrate area,Cell area,Cell active area,Buffer layer,Front electrode,Front metal,Front TCO,Front TCO thickness,Total front TCO thickness,Front TCO process,Front metal thickness [nm],Grid,Finger width [um],Finger spacing [mm],Front metal process,Scan direction,Bandgap,Voc tandem,Jsc tandem,FF tandem,n tandem,Jsc silicon,Jsc perovskite,Certified,Stability conditions,Stability result,Damp heat,Voc silicon,FF silicon,n silicon,Jsc silicon cell,Obs,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Reverse,,1694,13.4,72.9,16.6,15.1,14.6,No,,,,704,74.4,16.8,32.1,No filter. Silicon area 1.22 cm2,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Forward,,1700,13.4,75.5,17.2,15.1,14.6,No,,,,704,74.4,16.8,32.1,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Reverse,,1701,16.1,70.1,19.2,16.8,17.4,No,,,,704,74.4,16.8,32.1,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Forward,,1703,16.1,70.9,19.5,16.8,17.4,No,,,,704,74.4,16.8,32.1,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Tracking,,,,,19.2,16.8,17.4,No,,,,704,74.4,16.8,32.1,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Reverse,,1668,13.6,76.7,17.4,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Forward,,1670,13.8,78.6,18.1,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Reverse,,1690,15.9,77.6,20.9,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Forward,,1692,15.8,79.9,21.4,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Tracking,,,,,21.2,,,No,,,,,,,,,
Albrecht et al.,https://iopscience.iop.org/article/10.1088/2040-8978/18/6/064012,-,05/11/2016,2016,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,40,,,,,,,,,,,,,,Ag,AZO/Ag,70,,,,,,,,n-i-p,,,,-,0.16,0.09,MoOx,,,ITO,80,80,,,,,,,Reverse,,,,,18.8,,,No,,,,,,,,,
Albrecht et al.,https://iopscience.iop.org/article/10.1088/2040-8978/18/6/064012,-,05/11/2016,2016,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,40,,,,,,,,,,,,,,Ag,AZO/Ag,70,,,,,,,,n-i-p,,,,-,0.16,0.09,MoOx,,,ITO,80,80,,,,,,,Forward,,,,,17.9,,,No,,,,,,,,,
Albrecht et al.,https://iopscience.iop.org/article/10.1088/2040-8978/18/6/064012,-,05/11/2016,2016,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,40,,,,,,,,,,,,,,Ag,AZO/Ag,70,,,,,,,,n-i-p,,,,-,0.16,0.09,MoOx,,,ITO,80,80,,,,,,,Tracking,,,,,17,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.6b00254,-,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,30,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Reverse,,,,,19.7,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.6b00254,-,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,30,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Forward,,,,,20.6,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.6b00254,-,19/12/2015,2016,SHJ,n-type,FZ,DSP,1 - 5,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,30,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Tracking,,,,,20.5,,,No,,,,,,,,,
Kanda et al.,https://pubs.acs.org/doi/full/10.1021/acsami.6b07781,Mechanical 2T,31/10/2016,2016,Not clear,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,262,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,Not clear,,,,-,-,Not clear,None,Not clear,Not clear,FTO,400,400,,,,,,,Reverse,,,,,13.7,,,No,,,,,,,,,
Kanda et al.,https://pubs.acs.org/doi/full/10.1021/acsami.6b07781,Mechanical 2T,31/10/2016,2016,Not clear,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,262,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,Not clear,,,,-,-,Not clear,None,Not clear,Not clear,FTO,400,400,,,,,,,Forward,,,,,13.8,,,No,,,,,,,,,
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971361,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,1.43,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Reverse?,Not clear,1643,15.3,64.8,16.3,17.3,16.78,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971362,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,1.43,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Tracking,Not clear,,,,16,17.3,16.78,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971363,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,0.25,0.25,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Reverse,Not clear,1677,15.3,67.6,17.4,16.93,17,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971364,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,0.25,0.25,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Forward,Not clear,1689,15.3,66.3,17.2,16.93,17,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971365,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,0.25,0.25,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Tracking,Not clear,,,,16.4,16.93,17,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Bush et al.,https://www.nature.com/articles/nenergy20179,Record PCE at the time,17/02/2017,2017,heterojunction,n-type,FZ,DSP,Not clear,280,Rear,Textured,Planar,SiNx - PECVD,KOH,HF dip,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,200,Not clear,Not clear,None,,,,,a-Si:H(i),Yes - Ag/TCO,PECVD,Ag,ITO/Ag,20,200,Not clear,Sputtering,200,20,,,p-i-n,SnO2/ZTO,NiOx,Not clear,Not clear,1.21,1,None,ITO/Ag,Ag,ITO,150,150,DC sputtering,Not clear,No,0,0,evaporation,Reverse,1.63,1650,18.1,79,23.6,18.5,18.9,Yes,,,,,,,,,
Bush et al.,https://www.nature.com/articles/nenergy20180,Record PCE at the time,17/02/2017,2017,heterojunction,n-type,FZ,DSP,Not clear,280,Rear,Textured,Planar,SiNx - PECVD,KOH,HF dip,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,200,Not clear,Not clear,None,,,,,a-Si:H(i),Yes - Ag/TCO,PECVD,Ag,ITO/Ag,20,200,Not clear,Sputtering,200,20,,,p-i-n,SnO2/ZTO,NiOx,Not clear,Not clear,1.21,1,None,ITO/Ag,Ag,ITO,150,150,DC sputtering,Not clear,No,0,0,evaporation,Forward,1.63,1650,18.1,79,23.6,18.5,18.9,Yes,,,,,,,,,
Bush et al.,https://www.nature.com/articles/nenergy20181,Record PCE at the time,17/02/2017,2017,heterojunction,n-type,FZ,DSP,Not clear,280,Rear,Textured,Planar,SiNx - PECVD,KOH,HF dip,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,200,Not clear,Not clear,None,,,,,a-Si:H(i),Yes - Ag/TCO,PECVD,Ag,ITO/Ag,20,200,Not clear,Sputtering,200,20,,,p-i-n,SnO2/ZTO,NiOx,Not clear,Not clear,1.21,1,None,ITO/Ag,Ag,ITO,150,150,DC sputtering,Not clear,No,0,0,evaporation or sputtering,Tracking,1.63,,,,23.6,18.5,18.9,No,,,,,,,,,?
Kanda et al.,https://ieeexplore.ieee.org/document/8006072,Mechanical 2T,2017,2017,heterojunction,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,n-i-p,,,,-,-,-,None,,,FTO,Not clear,Not clear,,,,,,,Reverse,,,,,15.37,,,No,,,,,,,,,
Kanda et al.,https://ieeexplore.ieee.org/document/8006072,Mechanical 2T,2017,2017,heterojunction,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,Not clear,,,,,,,,,,,,,,Not clear,Not clear,Not clear,,,,,,,,n-i-p,,,,-,-,-,None,,,FTO,Not clear,Not clear,,,,,,,Reverse,,,,,12.93,,,No,,,,,,,,,
Fan et al.,https://onlinelibrary.wiley.com/doi/pdf/10.1002/solr.201700149,Full solution processed perovskite,27/10/2017,2017,heterojunction,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,Not clear,,Not clear,,Not clear,Not clear,Not clear,Not clear,a-Si:H(p),Not clear,recombination,ITO,80,Not clear,Not clear,Not clear,Not clear,Not clear,,,,,,a-Si:H(i),No,Not clear,Ag,Ag,0,500,Before,Not clear,Not clear,Not clear,,,n-i-p,SnO2,Spiro-OMeTAD,Laser - not clear,2.25,-,0.03,MoOx,ITO/Au,Au,ITO,120,120,,100,No,0,0,thermal evaporation,Reverse,,1703,15.25,79.22,20.57,13.65,13.46,No,,,,,,,,,
